#eta	order
0.000000	0.666667
0.250000	0.666666
0.500000	0.666650
0.750000	0.666566
1.000000	0.666347
1.250000	0.665783
1.500000	0.664701
1.750000	0.662186
2.000000	0.659378
2.250000	0.653650
2.500000	0.646875
2.750000	0.637808
3.000000	0.626160
3.250000	0.615010
3.500000	0.599212
3.750000	0.582091
4.000000	0.564736
4.250000	0.548466
4.500000	0.523250
4.750000	0.498457
5.000000	0.468129
5.250000	0.432891
5.500000	0.392800
5.750000	0.364129
6.000000	0.349036
6.250000	0.346209
6.500000	0.347582
6.750000	0.353248
7.000000	0.358800
7.250000	0.366227
7.500000	0.369822
7.750000	0.376800
8.000000	0.375032
8.250000	0.378897
8.500000	0.382269
8.750000	0.381794
9.000000	0.381734
9.250000	0.378008
9.500000	0.371137
9.750000	0.368742
