#rho	order
0.200000	0.502763
0.400000	0.450557
0.600000	0.449787
0.800000	0.453916
1.000000	0.477691
1.200000	0.504572
1.400000	0.515909
1.600000	0.552049
1.800000	0.575161
2.000000	0.591754
2.200000	0.618235
2.400000	0.641170
2.600000	0.660542
2.800000	0.672306
3.000000	0.690966
3.200000	0.703746
3.400000	0.717139
3.600000	0.725026
3.800000	0.730057
4.000000	0.743674
4.200000	0.750855
4.400000	0.756645
4.600000	0.759905
4.800000	0.764552
5.000000	0.768165
5.200000	0.777189
5.400000	0.781031
5.600000	0.779878
5.800000	0.785071
6.000000	0.788056
6.200000	0.789496
6.400000	0.793678
6.600000	0.792940
6.800000	0.797840
7.000000	0.798943
7.200000	0.799050
7.400000	0.801068
7.600000	0.803871
7.800000	0.806484
