#rho	order
0.200000	0.144310
0.400000	0.167462
0.600000	0.243573
0.800000	0.351973
1.000000	0.456887
1.200000	0.519178
1.400000	0.576682
1.600000	0.611329
1.800000	0.642867
2.000000	0.671291
2.200000	0.691506
2.400000	0.706531
2.600000	0.719842
2.800000	0.729674
3.000000	0.739936
3.200000	0.747153
3.400000	0.756693
3.600000	0.759744
3.800000	0.766670
4.000000	0.772888
4.200000	0.776714
4.400000	0.779795
4.600000	0.782686
4.800000	0.787060
5.000000	0.789231
5.200000	0.793405
5.400000	0.794937
5.600000	0.797318
5.800000	0.797327
