#eta	order
0.000000	0.000006
0.250000	0.001146
0.500000	0.003744
0.750000	0.007834
1.000000	0.013475
1.250000	0.020105
1.500000	0.027863
1.750000	0.035306
2.000000	0.044679
2.250000	0.052409
2.500000	0.060563
2.750000	0.069745
3.000000	0.076647
3.250000	0.082476
3.500000	0.087340
3.750000	0.090183
4.000000	0.094306
4.250000	0.095712
4.500000	0.095346
4.750000	0.094007
5.000000	0.090768
5.250000	0.086292
5.500000	0.081441
5.750000	0.076585
6.000000	0.072959
6.250000	0.072085
6.500000	0.072102
6.750000	0.075209
7.000000	0.076076
7.250000	0.079297
7.500000	0.081533
7.750000	0.083677
8.000000	0.084689
8.250000	0.085927
8.500000	0.084693
8.750000	0.085831
9.000000	0.085952
9.250000	0.084738
9.500000	0.084377
9.750000	0.083258
