#eta	order
0.000000	0.000003
0.209440	0.000880
0.418879	0.002665
0.628319	0.005643
0.837758	0.009805
1.047198	0.015485
1.256637	0.021589
1.466077	0.028967
1.675516	0.035934
1.884956	0.043599
2.094395	0.050144
2.303835	0.057495
2.513274	0.064761
2.722714	0.071823
2.932153	0.077219
3.141593	0.081221
3.351032	0.086883
3.560472	0.090224
3.769911	0.092542
3.979351	0.094700
4.188790	0.095028
4.398230	0.094855
4.607669	0.094472
4.817109	0.093374
5.026548	0.089727
5.235988	0.085909
5.445427	0.081859
5.654867	0.077752
5.864306	0.074238
6.073746	0.072285
