#eta	order
0.000000	0.000006
0.209440	0.001114
0.418879	0.003593
0.628319	0.007353
0.837758	0.012385
1.047198	0.019299
1.256637	0.026928
1.466077	0.036093
1.675516	0.046232
1.884956	0.055819
2.094395	0.063738
2.303835	0.072448
2.513274	0.079036
2.722714	0.085723
2.932153	0.090369
3.141593	0.094303
3.351032	0.096266
3.560472	0.097869
3.769911	0.098007
3.979351	0.097582
4.188790	0.096416
4.398230	0.094921
4.607669	0.092682
4.817109	0.089580
5.026548	0.085750
5.235988	0.082158
5.445427	0.078794
5.654867	0.075961
5.864306	0.073247
6.073746	0.072203
