#eta	order
0.000000	0.000103
0.250000	0.000378
0.500000	0.001239
0.750000	0.004362
1.000000	0.004438
1.250000	0.015189
1.500000	0.014694
1.750000	0.011006
2.000000	0.016112
2.250000	0.027195
2.500000	0.027570
2.750000	0.025591
3.000000	0.024364
3.250000	0.024319
3.500000	0.036203
3.750000	0.034564
4.000000	0.026140
4.250000	0.038573
4.500000	0.032196
4.750000	0.023311
5.000000	0.024026
5.250000	0.022611
5.500000	0.020157
5.750000	0.017769
6.000000	0.015081
6.250000	0.012462
6.500000	0.014379
6.750000	0.017462
7.000000	0.017252
7.250000	0.018132
7.500000	0.019764
7.750000	0.019925
8.000000	0.021431
8.250000	0.024182
8.500000	0.024704
8.750000	0.021431
9.000000	0.025839
9.250000	0.020472
9.500000	0.018170
9.750000	0.017057
