#eta	order
0.000000	0.986123
0.250000	0.991468
0.500000	0.980789
0.750000	0.961812
1.000000	0.944425
1.250000	0.903989
1.500000	0.864796
1.750000	0.816408
2.000000	0.740191
2.250000	0.732434
2.500000	0.666157
2.750000	0.602273
3.000000	0.521437
3.250000	0.510229
3.500000	0.432770
3.750000	0.358485
4.000000	0.274855
4.250000	0.204412
4.500000	0.155534
4.750000	0.148947
5.000000	0.096337
5.250000	0.077378
5.500000	0.034093
5.750000	0.034493
6.000000	0.033968
6.250000	0.041539
6.500000	0.031809
6.750000	0.038656
7.000000	0.044550
7.250000	0.044363
7.500000	0.042620
7.750000	0.035804
8.000000	0.069013
8.250000	0.068468
8.500000	0.061979
8.750000	0.043057
9.000000	0.031044
9.250000	0.040226
9.500000	0.044139
9.750000	0.045021
