#eta	order
0.000000	0.666662
0.250000	0.666659
0.500000	0.666571
0.750000	0.666430
1.000000	0.665128
1.250000	0.653950
1.500000	0.647917
1.750000	0.605566
2.000000	0.604631
2.250000	0.564076
2.500000	0.557182
2.750000	0.520649
3.000000	0.510651
3.250000	0.351059
3.500000	0.468747
3.750000	0.485389
4.000000	0.448661
4.250000	0.381852
4.500000	0.481338
4.750000	0.380234
5.000000	0.466800
5.250000	0.411977
5.500000	0.341509
5.750000	0.388476
6.000000	0.465377
6.250000	0.426501
6.500000	0.353592
6.750000	0.388177
7.000000	0.412297
7.250000	0.491225
7.500000	0.465362
7.750000	0.383711
8.000000	0.422699
8.250000	0.432163
8.500000	0.406490
8.750000	0.468903
9.000000	0.448292
9.250000	0.441046
9.500000	0.362242
9.750000	0.419728
